end,val,accn,fy,fp,form,filed,frame
2025-06-30,5327997000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,CY2025Q2I
2025-03-31,5233198000,0001492298-25-000016,2025,Q1,10-Q,2025-05-05,CY2025Q1I
2024-12-31,5303679000,0001492298-25-000031,2025,Q2,10-Q,2025-08-04,CY2024Q4I
2024-12-31,5303679000,0001492298-25-000016,2025,Q1,10-Q,2025-05-05,
2024-12-31,5303679000,0001492298-25-000008,2024,FY,10-K,2025-02-19,
2024-09-30,5366126000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,CY2024Q3I
2024-06-30,5351116000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,CY2024Q2I
2024-03-31,5374438000,0001492298-24-000014,2024,Q1,10-Q,2024-05-08,CY2024Q1I
2023-12-31,5386150000,0001492298-24-000025,2024,Q2,10-Q,2024-08-07,
2023-12-31,5386150000,0001492298-24-000014,2024,Q1,10-Q,2024-05-08,
2023-12-31,5386150000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2023-12-31,5386150000,0001492298-24-000031,2024,Q3,10-Q,2024-10-31,
2023-12-31,5386150000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2023Q4I
2023-09-30,5380562000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,CY2023Q3I
2023-06-30,5524330000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,CY2023Q2I
2023-03-31,5556311000,0001492298-23-000014,2023,Q1,10-Q,2023-05-03,CY2023Q1I
2022-12-31,5747672000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2022Q4I
2022-12-31,5747672000,0001492298-23-000025,2023,Q3,10-Q,2023-11-06,
2022-12-31,5747672000,0001492298-23-000021,2023,Q2,10-Q,2023-08-07,
2022-12-31,5747672000,0001492298-23-000014,2023,Q1,10-Q,2023-05-03,
2022-12-31,5747672000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2022-09-30,5844915000,0001492298-22-000033,2022,Q3,10-Q,2022-11-07,CY2022Q3I
2022-06-30,5961432000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,CY2022Q2I
2022-03-31,5884932000,0001492298-22-000020,2022,Q1,10-Q,2022-05-04,CY2022Q1I
2021-12-31,5966707000,0001492298-22-000027,2022,Q2,10-Q,2022-08-03,
